No.,名称,名称_カナ,住所,lat,lng,男性トイレの有無,女性トイレの有無,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用可能な曜日,利用開始時間,利用終了時間,利用可能時間特記事項
1,徳島県立防災センター,トクシマケンリツボウサイセンター,北島町鯛浜字大西165,34.1132552,134.5454017,有,有,有,有,有,火水木金土日,8:30,17:00,第一火曜日，12/28〜1/4は利用不可。
2,消防学校,ショウボウガッコウ,北島町鯛浜字大西159外,34.1137176,134.5431307,有,有,無,無,無,月火水木金土日,8:30,17:00,12/29〜1/3は利用不可。
3,徳島県立南部防災館,トクシマケンリツナンブボウサイカン,海陽町浅川字西福良43,33.6228813,134.3691863,有,有,有,有,有,火水木金土日,9:00,17:00,月、第１火、年末年始は利用不可
4,徳島県立西部防災館（本館）,トクシマケンリツセイブボウサイカン（ホンカン）,美馬市美馬町中鳥,34.0409121,134.0115827,有,有,有,有,有,月水木金土日,9:00,17:00,休館日(年末年始を含む)は利用不可。
5,徳島県立西部防災館（別館）,トクシマケンリツセイブボウサイカン（ベッカン）,美馬市美馬町中鳥,34.0409121,134.0115827,有,有,有,有,有,月水木金土日,9:00,17:00,"休館日(年末年始を含む)は利用不可。
男性，女性トイレは制限なく終日利用可。"
6,消費者情報センター,ショウヒシャジョウホウセンター,徳島市徳島町城内2-1,34.0700115,134.5562645,有,有,有,有,有,月火水木金土日,9:00,21:00,"第２・第４水曜日，年末年始（12/29〜1/3）は休館日
（第２・第４水曜日が祝日の場合は開館，祝日開けの平日が休館日）
その他、青少年センターの設備のため、同センターの利用可能時間に準ずる"
7,鳴門合同庁舎,ナルトゴウドウチョウシャ,鳴門市撫養町立岩字七枚128,34.1725482,134.6139252,有,有,有,有,無,月火水木金,8:30,17:15,祝日，年末及び年始は利用不可
8,動物愛護管理センター,ドウブツアイゴカンリセンター,神山町阿野字長谷333,34.0502103,134.4175307,有,有,有,有,有,月火水木金土日,8:30,17:15,年末及び年始は利用不可
9,万代庁舎,ﾊﾞﾝﾀﾞｲﾁｮｳｼｬ,徳島市万代町１丁目1,34.0655824,134.5600346,有,有,有,有,有,月火水木金,8:00,18:30,祝日，年末及び年始は利用不可。
10,徳島合同庁舎,ﾄｸｼﾏｺﾞｳﾄﾞｳﾁｮｳｼｬ,徳島市新蔵町１丁目67,34.0697003,134.5581721,有,有,有,有,有,月火水木金,8:30,18:15,祝日，年末及び年始は利用不可。
11,南部総合県民局阿南庁舎,ﾅﾝﾌﾞｿｳｺﾞｳｹﾝﾐﾝｷｮｸｱﾅﾝﾁｮｳｼｬ,阿南市富岡町あ王谷46-1,33.9181187,134.6557049,有,有,有,有,有,月火水木金,8:30,18:15,祝日，年末及び年始は利用不可。
12,南部総合県民局美波庁舎,ﾅﾝﾌﾞｿｳｺﾞｳｹﾝﾐﾝｷｮｸﾐﾅﾐﾁｮｳｼｬ,美波町奥河内字弁財天17-1,33.7150929,134.5172245,有,有,有,有,有,月火水木金,8:30,18:15,祝日，年末及び年始は利用不可。
13,吉野川合同庁舎,ﾖｼﾉｶﾞﾜｺﾞｳﾄﾞｳﾁｮｳｼｬ,吉野川市川島町宮島字南中須736-1,34.0662658,134.3586854,有,有,有,有,有,月火水木金,8:30,17:30,祝日，年末及び年始は利用不可。
